formula,target
Ba0.00974586 Ga0.05448678 Ge0.25093844 O0.50187687 F0.18295205,1
Li0.4079035 B0.09684077 Mo0.0365107 O0.45874502,0
Ba0.03832349 Na0.16002173 Nb0.14124652 O0.28249303 F0.37791523,0
Nd0.02334607 Al0.07883603 Si0.24818158 O0.64963632,0
Ag0.22906244 Mo0.01139616 P0.16922888 I0.03704124 O0.55327128,1
V0.13938551 Sb0.20486028 O0.65575421,0
Na0.13528203 Nb0.06703047 Ge0.1874901 O0.6101974,0
Li0.354835 Dy0.0001269 B0.1869721 O0.458066,1
Ba0.01577749 Na0.27449882 Nb0.10091748 O0.20183495 F0.40697127,1
Ba0.02481752 Zn0.11516115 Si0.24001422 O0.62000711,1
Li0.1135794 Zn0.13436216 B0.22436263 O0.52769581,0
Al0.02248423 B0.34575412 Pb0.03970206 O0.59205959,1
Mg0.07222307 Tl0.065668 Si0.25235062 O0.60975831,1
Mg0.03843015 Zn0.08376231 B0.30224603 O0.57556151,1
Ba0.04821444 Na0.08164889 P0.08164889 W0.11177806 O0.58028084 F0.09642889,1
Ca0.12004752 Mn0.01581664 Si0.24275722 O0.62137861,0
Tl0.03630726 Cd0.1119951 Ge0.2405163 O0.61118134,1
Co0.01843718 B0.35140099 P0.02154416 O0.60861767,1
Ta0.00631261 Bi0.06501416 B0.32614819 O0.60252504,0
K0.17956247 Ti0.03025444 Si0.21329766 O0.57688543,1
Ca0.2647441 V0.06684554 B0.09462096 O0.5737894,1
Sr0.18611356 Ga0.20888533 Bi0.04222382 O0.56277729,1
Ba0.06035042 V0.22392213 B0.03822868 O0.67749877,1
Sr0.19266246 B0.19920615 Mo0.02916492 O0.57896646,0
Ba0.09285036 Nb0.08033797 Si0.17770546 O0.64910621,0
Mg0.10815643 Cr0.0567905 P0.18334597 O0.6517071,0
Li0.36734577 Nb0.05398134 P0.07429905 O0.50437384,1
Lu0.01764744 Al0.15876804 Si0.18632044 O0.63726409,1
Ti0.1441216 P0.16218149 O0.69369691,0
V0.14184989 Bi0.15990551 B0.04150464 O0.65673996,0
Nb0.00648846 Cd0.06028015 B0.34269204 O0.59053935,1
V0.04671862 Ag0.55439322 I0.00978997 O0.38909818,0
V0.07081917 B0.23307411 P0.04841361 O0.64769311,1
Fe0.00146611 Si0.19190448 Pb0.21031064 O0.59631877,0
Li0.41269718 Zr0.00651305 Ge0.12047169 O0.46031808,0
La0.04010578 Mg0.04123528 P0.20453458 O0.51133644 F0.20278792,0
La0.09843838 Nb0.00261426 B0.29790166 O0.6010457,0
Ba0.01551241 Zn0.15790783 Si0.21771984 O0.60885992,0
Pr0.00448493 Al0.13074114 Si0.22014662 O0.64462731,1
Mg0.12379568 Sb0.13692485 P0.11717044 O0.62210904,1
Ti0.02391492 B0.35895399 Pb0.01543513 O0.60169596,0
Ca0.09281477 La0.07353659 B0.21508568 O0.43293341 F0.18562955,1
K0.14098436 Si0.26284115 O0.59617448,1
Al0.18225596 Cd0.23795356 Bi0.02738119 O0.55240929,0
Cr0.05584714 Sb0.06749048 P0.19761598 O0.67904639,0
Sr0.11146859 Si0.25902094 O0.62951047,0
Mg0.15082215 Al0.07949156 P0.14275051 O0.62693578,0
Ba0.02268483 Zn0.07595575 Si0.26757295 O0.63378648,0
V0.05401349 Sb0.03369935 P0.20762984 O0.70465733,1
Al0.05143706 Si0.13462368 P0.1335818 O0.68035746,0
Sr0.26302124 Al0.15027447 Bi0.03930854 O0.54739575,0
B0.35562898 Pb0.05546377 O0.58890725,1
Ba0.14208808 Ti0.08192895 P0.13429629 O0.64168669,0
Na0.34836847 P0.05780267 W0.06878448 O0.52504437,0
Sr0.01498422 Si0.02635812 B0.35638287 O0.60227478,1
Si0.28433711 Bi0.05879547 O0.65686742,1
K0.11899653 Ti0.0136993 Si0.26013577 O0.6071684,1
Cs0.00757396 Al0.04063589 Si0.29568311 O0.65610704,1
Li0.25916832 Si0.19333617 Sn0.01041301 O0.53708251,0
K0.25242344 Ti0.09792405 Si0.10919756 O0.54045495,1
V0.11283665 B0.11862425 P0.08814603 O0.68039307,1
Nd0.02946562 Cu0.12010356 B0.27445154 O0.57597929,0
Si0.18363025 Mo0.0306612 P0.09327555 O0.69243299,1
B0.01698745 Pb0.42912541 O0.35532601 F0.19856114,0
K0.13448681 B0.31930792 O0.54620528,1
V0.23837305 Ge0.03716121 Bi0.02168428 O0.70278146,1
Si0.30511229 Bi0.03377125 Pb0.0001175 O0.66099896,0
K0.40109654 Ti0.00463789 Ga0.15377661 O0.44048896,0
Ti0.02867253 Tl0.06240987 B0.32814705 O0.58077056,0
Na0.01210805 P0.23111238 W0.04323615 O0.71354342,0
Th0.00465796 Cd0.12301987 B0.29599455 O0.57632762,0
K0.32957314 Ti0.09775428 Ge0.07079249 O0.5018801,0
Cu0.10335452 Mo0.1790468 Pb0.03855188 O0.6790468,1
Ta0.00701847 Cd0.16990889 Si0.21187252 O0.61120011,0
Ba0.04663331 Ti0.08634989 B0.25907348 O0.60794332,1
Zn0.19320181 B0.24543856 O0.56135964,0
Ba0.08452658 Eu0.02263382 P0.22124637 O0.67159323,0
La0.01921063 B0.38078937 O0.6,1
Li0.33605382 B0.19836771 O0.46557847,1
Sb0.26273692 Pb0.17157885 O0.56568423,1
Sr0.01448774 Li0.61414577 Bi0.01992235 O0.35144414,1
Na0.13989316 Si0.24546252 Sn0.01792423 O0.59672009,0
Ba0.07700978 La0.02024993 B0.31814225 O0.58459804,1
Na0.16281331 B0.28005156 W0.01391278 O0.54322235,0
V0.00777035 P0.19448375 Pb0.14605533 O0.65169057,0
Ca0.17879199 Ti0.10984572 Si0.10429295 O0.60706934,0
Cd0.06687718 Ga0.03700429 Si0.25791164 O0.63820689,1
Ba0.05476478 Mg0.00043043 Al0.12645642 P0.10952956 O0.32858869 F0.38023011,0
Li0.09483579 Ti0.03273887 B0.30381189 O0.56861346,0
K0.13754199 Zn0.00183902 B0.13754199 Sb0.1784616 O0.5446154,1
Ba0.10515345 Ga0.19401623 Si0.10155084 O0.59927948,1
In0.00651499 B0.37276722 Pb0.02589723 O0.59482055,1
La0.11174568 Nb0.17121156 Ga0.04855814 O0.66848462,1
Ba0.03875157 V0.22525299 B0.05364455 O0.68235088,1
V0.16894616 B0.12280922 P0.02904725 O0.67919736,0
Li0.35573904 Ca0.02329328 Si0.13993496 O0.48103272,1
Ti0.0599963 V0.17837849 P0.05591039 O0.70571481,1
Ag0.17960868 B0.0606793 P0.16539678 O0.59431524,1
Na0.34499851 Si0.13087681 Bi0.03594873 O0.48817596,0
Na0.32980905 Si0.03402089 P0.11520678 O0.52096327,0
K0.18609218 V0.09315126 Si0.14713599 O0.57362058,0
Ba0.01470744 B0.38823405 O0.59705851,1
Be0.20138044 Zn0.06003958 B0.19086398 O0.54771599,0
K0.01561828 Be0.35111891 Si0.09144492 O0.54181789,1
Tl0.00087818 Bi0.39947309 O0.59964873,0
Na0.35352413 Ti0.02083948 B0.16287814 O0.46275824,0
Mg0.17454484 B0.26036413 O0.56509103,1
Si0.2050785 Pb0.16844644 I0.09574326 O0.5307318,1
La0.0123422 Zn0.03693917 B0.35810647 O0.59261217,1
Sr0.06994792 Sb0.31606249 Cl0.13989585 O0.47409374,1
Na0.29258338 Cu0.05699263 P0.12775419 O0.5226698,1
Mn0.11734702 Si0.0791678 P0.15080073 O0.65268445,1
Tl0.02593503 Cd0.06573256 B0.33185294 O0.57647948,1
Mn0.1190017 Zn0.178567 B0.16194504 O0.54048626,0
Ni0.04776466 B0.25622421 P0.0754029 O0.62060823,1
Sr0.17252717 Zr0.04073011 Ge0.17758511 O0.60915761,0
Ba0.0111182 Ti0.03232795 B0.3523119 O0.60424195,0
Ba0.07679033 Al0.01810289 Zn0.07882515 P0.15358066 O0.46074198 F0.21195898,1
Ca0.08929081 Al0.03456586 Si0.24500125 O0.63114209,0
Tl0.04097293 Ge0.31284687 O0.6461802,1
K0.1253605 Ti0.07333546 Si0.19731763 O0.60398642,1
Li0.26957255 Al0.01580052 P0.15889711 O0.55572982,1
Cd0.17330783 Ge0.05011982 B0.20120995 O0.5753624,1
Na0.15171547 Nb0.06451912 P0.15617425 O0.62759116,0
Ag0.21560508 P0.17802741 I0.10699286 O0.49937464,1
Ge0.24926378 Bi0.08785891 W0.00814034 O0.65473696,0
Nb0.02447476 Si0.14436673 P0.13749661 O0.6936619,0
Al0.06593473 Sb0.01315677 P0.22922036 O0.69168814,0
P0.23226706 Pb0.0623551 Br0.01532846 O0.58066765 F0.10938173,1
Ca0.31486809 Al0.04828164 Si0.08318658 O0.5536637,0
Ce0.01526401 Ni0.06227863 P0.23704306 O0.6854143,0
Li0.36294362 B0.16947227 Pb0.01595194 O0.45163216,1
Ba0.06200205 V0.01574197 B0.3283596 O0.59389638,1
Sr0.07031377 Nb0.055714 Ga0.26574939 O0.60822284,0
Li0.30432513 Ti0.006239 Si0.17493177 O0.5145041,1
Sr0.25020326 Zn0.14043769 Bi0.08748724 O0.52187181,1
Sr0.15884348 B0.22907808 Mo0.02740446 O0.58467398,0
Al0.27089848 Cd0.03512586 Pb0.12625105 O0.56772462,1
Bi0.12823406 B0.22478081 Pb0.05873141 O0.58825372,1
Ga0.29518626 Ge0.07554006 Pb0.01770709 O0.6115666,0
Ba0.02336592 Si0.31775605 O0.65887803,0
Cd0.03020277 B0.222829 P0.10929199 O0.63767624,0
Ho0.03280313 Al0.1457815 Si0.18451281 O0.63690256,1
Sr0.02984339 Al0.11741291 B0.25871238 O0.59403132,0
K0.2139056 B0.1412524 Mo0.08150265 O0.56333935,0
Ge0.33333333 O0.66666667,1
Sr0.0099243 B0.39206056 O0.59801514,1
Li0.34896035 B0.19062379 O0.46041586,1
Ca0.14518644 Zn0.02117865 B0.26690793 O0.56672698,1
Mg0.11013283 Ge0.24550488 Pb0.02160984 O0.62275244,1
Ba0.02646354 Mo0.11170653 P0.14292766 O0.71890227,1
Ca0.04654 Fe0.01936991 B0.34339809 O0.590692,1
Ba0.01645709 Al0.08738494 B0.29944939 O0.59670858,0
La0.03896487 Mg0.02227644 P0.22208892 O0.55522229 F0.16144748,1
Cu0.29399577 Mo0.04556624 P0.09176991 Cl0.11109337 O0.4575747,1
Mg0.13238991 Al0.07586838 Ge0.18184974 O0.60989197,0
Na0.4243801 Al0.03727418 B0.10809776 O0.43024796,0
Cs0.04197032 Ti0.29500695 Ga0.02080947 O0.64221326,0
Li0.0832111 Al0.07401977 B0.27605357 O0.56671556,0
Mg0.15441435 Si0.22442499 W0.00447408 O0.61668658,1
Na0.07707804 Y0.03871932 Si0.26252821 O0.62167443,0
Li0.40265063 Ca0.17702672 Bi0.01678824 O0.4035344,1
Ti0.08097252 B0.28705628 Pb0.01972088 O0.61225033,0
Cu0.21142044 Bi0.15359094 Pb0.09659089 O0.53839774,0
Y0.01447195 Al0.07948521 B0.30604285 O0.6,1
Mn0.15947754 B0.27241797 O0.56810449,1
Ba0.03439078 Li0.59608509 Bi0.01483632 O0.35468781,1
Ca0.26659268 Ti0.0311978 Si0.12440708 O0.57780244,0
Ag0.22277129 B0.25156498 I0.07386123 O0.4518025,1
Ba0.03513691 Ti0.15491118 Si0.15499755 O0.65495436,0
Ba0.03588451 Na0.21959091 Y0.044669 As0.10979545 O0.38428409 F0.20577604,1
Sn0.1855702 P0.15902708 O0.51087311 F0.1445296,0
K0.08849357 Zn0.23678636 Ge0.13122898 O0.5434911,0
Mo0.00351051 P0.23291343 Pb0.08538048 O0.67819558,1
Ba0.08887662 Zn0.11074294 Si0.20025363 O0.60012681,1
K0.20431062 Mo0.17338352 O0.62230586,1
Ca0.06087131 Ge0.03398103 B0.31052572 O0.59462194,1
K0.26615716 V0.04734012 Sb0.17402953 O0.51247319,1
Na0.10746669 In0.02335106 Si0.26014077 O0.60904148,0
La0.02999024 B0.37000976 O0.6,1
Cd0.19357671 Bi0.09111113 Pb0.09574601 O0.23241271 F0.38715343,1
Ga0.19435901 Ge0.13056152 Pb0.06120895 O0.61387051,0
Na0.43611179 Ti0.02133224 B0.11273424 O0.42982173,0
Sr0.07063303 Zn0.08813554 B0.27298514 O0.56824629,1
Na0.23020262 Y0.03257957 Si0.19108238 O0.54613543,0
Li0.47617733 P0.07955385 Cl0.01459103 O0.42967778,1
Rb0.06419477 Si0.28422197 Sn0.01701398 O0.63456928,0
B0.37595254 Mo0.01136507 Pb0.00732918 O0.60535321,0
Na0.37440124 Ti0.04793582 B0.11783627 O0.45982667,0
K0.09975392 Be0.11918211 B0.24480196 O0.53626201,1
Ti0.08815698 B0.26855398 Pb0.03207206 O0.61121698,0
Ge0.27742312 Bi0.06709225 O0.65548462,1
Cu0.21667581 P0.16189953 O0.62142465,0
Ba0.00290976 Li0.45877244 P0.0874348 O0.45088299,0
Na0.06724131 La0.01213202 Si0.28960266 O0.63102401,0
Be0.18914533 Zn0.06326403 B0.19807252 O0.54951813,1
La0.03637668 Ti0.23156473 Nb0.06124689 O0.6708117,1
Ca0.11005996 Ga0.09989557 Si0.17671371 O0.61333075,0
K0.01328415 P0.17190254 W0.09460372 O0.72020959,0
Na0.23303888 Fe0.01292116 Si0.20604626 O0.5479937,1
Ti0.033679 B0.31290803 Pb0.05834646 O0.59506651,1
Ba0.12322341 B0.18909589 Mo0.07020336 O0.61747734,0
Rb0.0797043 Si0.29348118 O0.62681452,1
Ba0.0387346 Li0.34498879 Nb0.04845466 O0.09690931 F0.47091264,1
Tl0.00035057 Ge0.31984217 Bi0.01597905 O0.6638282,1
Ba0.00575834 Si0.12829377 B0.2414408 O0.62450709,1
Li0.09401967 B0.34300726 Pb0.00072618 O0.5622469,1
Ti0.05178453 Al0.0533936 Si0.23705414 O0.65776773,0
Ca0.08429961 Sb0.02535317 P0.21943367 O0.67091355,1
Mg0.15903265 B0.27277388 O0.56819347,1
Ge0.08742301 Pb0.36886548 O0.54371151,0
Sb0.04789823 P0.21790064 Pb0.03485197 O0.69934916,1
Sr0.05785464 Ge0.22146366 B0.08795989 O0.6327218,1
Na0.18294844 V0.20530204 B0.00280808 O0.60894144,1
Na0.08977462 Sr0.12082008 Si0.2078993 O0.581506,0
Cu0.02216599 P0.21927133 Pb0.09410918 O0.6644535,1
Tl0.02254292 Si0.31201951 Pb0.01506354 O0.65037403,1
K0.35179839 B0.12246153 Mo0.04153714 O0.48420293,0
Ba0.00735091 Ga0.04957601 Si0.28711938 O0.65595369,0
K0.15121414 Cd0.06655427 Si0.21335675 O0.56887484,0
Sm0.03045156 Al0.13899687 B0.23055157 O0.6,1
La0.06506142 Nb0.23924184 O0.69569674,1
Sr0.07854747 Zn0.13209002 B0.23149001 O0.5578725,1
Na0.14645691 Al0.03007648 Ge0.23504115 O0.58842547,1
Mn0.0089055 Mo0.20605251 P0.04386464 O0.74117736,0
Zn0.01468457 Ge0.29313295 P0.0218707 O0.64094265 F0.02936913,0
Cd0.13987419 Si0.10080367 B0.16713625 O0.59218589,1
Ba0.03350737 V0.19496571 P0.07160151 O0.69992541,1
Sr0.06356688 La0.09706114 B0.2266586 O0.48557961 F0.12713377,0
Mg0.12531832 Al0.15851914 Si0.1176885 O0.59847404,0
K0.14085171 Nb0.07119334 Ge0.17984858 O0.60810637,1
Mn0.27494883 Fe0.13394584 Si0.03841258 O0.55269275,0
Ca0.02471139 Be0.22497527 B0.20025067 O0.55006267,0
Nd0.00303012 Al0.00599982 Si0.32580839 O0.66516168,1
Sr0.07660057 Al0.15569255 Si0.1525225 O0.61518438,0
Si0.0361343 B0.32470956 Pb0.03991159 O0.59924454,1
Ag0.11391508 B0.22750468 P0.0743902 O0.58419005,0
Cu0.13139566 P0.20773275 Pb0.00507202 O0.65579956,1
Ca0.01600442 Mo0.20183633 P0.04589881 O0.73626044,0
Ba0.05410198 Ti0.05244669 P0.20984457 O0.68360677,1
P0.20261137 Pb0.1454301 O0.65195853,0
Ca0.20833611 Si0.1944426 O0.5972213,0
Ba0.0399737 Zr0.01663469 B0.34805942 O0.5953322,1
Ca0.24339142 Al0.20528686 O0.55132172,0
Nb0.01192688 Zn0.2345848 Ge0.16302877 O0.59045955,0
Na0.10359697 Ta0.04713897 Ge0.22653939 O0.62272468,1
Na0.23991388 Mg0.09348974 Si0.1510499 O0.51554648,1
Ca0.22519086 Mg0.04928607 Si0.15034872 O0.57517436,0
Si0.24351017 Ge0.03530586 Pb0.08177596 O0.63940801,1
Ca0.22551643 Mn0.05348251 Si0.14733404 O0.57366702,1
Cu0.42151491 P0.08908265 I0.11187673 O0.37752571,0
La0.03122536 Mg0.02224491 P0.2309611 O0.57740274 F0.13816589,1
Zn0.01520777 B0.38783378 O0.59695845,1
Si0.07263923 Ge0.20854967 Pb0.07821665 O0.64059445,1
Nd0.01271694 Si0.21544947 P0.09195978 O0.67987381,0
Al0.08713601 B0.25437687 Pb0.0731089 O0.58537822,1
Sr0.12362903 B0.30109677 O0.57527419,0
Na0.10473437 Fe0.12314718 Si0.19886803 O0.57325042,1
Li0.34446559 P0.12134185 W0.01465129 O0.51954127,1
Na0.06874275 Mg0.01595632 Si0.28832441 O0.62697652,0
Mg0.25248924 Al0.00033492 B0.19767368 O0.54950215,0
Na0.14406113 Al0.01683315 B0.25781806 O0.38672709 F0.19456057,1
Na0.13456651 Li0.19301379 B0.20345182 O0.46896788,0
K0.12352549 Ti0.21817361 Ge0.05339698 O0.60490392,0
Na0.24181097 Al0.03184762 Sb0.2230658 O0.50327561,0
Na0.38399532 Ti0.00955404 B0.15813796 O0.44831268,1
Li0.11556154 Al0.02401266 Si0.17149769 P0.07203799 O0.61689012,1
Zr0.02537697 Al0.09822569 P0.19380139 O0.68259595,0
Ca0.0186167 Zn0.34838365 P0.0759998 O0.55699985,0
Al0.04872587 P0.15643719 Pb0.11192832 O0.46931156 F0.21359706,1
Sr0.12750033 V0.18827091 B0.03442046 O0.6498083,1
Li0.37833248 Ti0.00233524 Si0.14183186 O0.47750043,1
Na0.20849138 Sn0.02689945 Ge0.20218819 O0.56242098,1
Sr0.1027835 P0.22698086 O0.67023564,1
Ca0.22408774 Al0.17319713 Si0.03961057 O0.56310456,1
Ca0.29414696 Ga0.15153583 Ge0.0109555 O0.54336171,0
Ca0.14746403 Ti0.07735489 P0.13514493 O0.64003615,0
Ti0.04597971 Si0.23378955 Pb0.08034611 O0.63988463,1
Ba0.02804599 Al0.11615107 Zn0.09432728 P0.05609197 O0.16827592 F0.53710777,1
Cu0.23617122 Mo0.13182971 Pb0.00016935 O0.63182971,1
K0.09084609 Si0.28264199 Sn0.0052683 O0.62124362,1
Li0.21393979 Bi0.09428935 B0.17734677 O0.51442408,0
Ba0.0089839 Na0.17291973 B0.28906104 O0.52903533,1
Ba0.07603971 Ga0.10698277 Si0.19348788 O0.62348963,1
Ag0.48622556 W0.03098732 I0.29342472 O0.18936239,1
Na0.17983911 Cr0.00832743 Si0.23647425 O0.57535921,0
Ba0.08238165 Cu0.15132074 Bi0.21303809 O0.55325952,0
Cs0.00369419 V0.20288013 Ge0.09479276 O0.69863293,0
Ge0.23640899 Pb0.14538652 O0.61820449,1
Li0.32309024 Ca0.0008695 Nb0.14675018 O0.52929008,1
Cd0.05242703 Ge0.26731101 Bi0.03728516 O0.6429768,1
Ag0.188202 Ge0.22373135 I0.09300589 O0.49506076,0
Tl0.05136135 B0.15668265 P0.1517861 O0.6401699,1
Na0.26795456 Ca0.06302762 Si0.15733764 O0.51168018,1
Ag0.15713861 Mo0.03624828 P0.17694256 O0.62967055,1
V0.0950824 Cd0.04850408 B0.22808138 O0.62833214,1
Al0.13732011 Si0.0337722 P0.1586809 O0.6702268,0
Cu0.06843686 B0.3303518 Pb0.01862339 O0.58258795,1
K0.39107706 Nb0.04895752 Ge0.0806777 O0.47928772,0
K0.19893866 Na0.00302348 Si0.23235226 O0.5656856,1
Al0.04243234 Zn0.09775769 B0.27936151 O0.58044846,1
Ge0.24393281 Bi0.04226148 Pb0.08127393 O0.63253178,1
Ba0.06138433 Al0.11769266 B0.23319987 O0.58772313,1
Mg0.1116073 Ti0.12971311 P0.11075602 O0.64792357,1
Sr0.04604485 B0.36316412 O0.59079103,1
Al0.00036404 B0.39388404 Pb0.00691687 O0.59774292 F0.00109213,0
Li0.52378171 Nb0.01472043 Si0.05426865 O0.40722922,0
Na0.19021493 B0.28587104 O0.52391403,1
Zn0.24028416 P0.14840905 O0.61130679,1
Sr0.03943665 V0.03542185 B0.31886009 O0.60628141,1
Mg0.307088 Ga0.01849251 B0.1358371 O0.5385824,0
Li0.29009837 Si0.18828415 O0.52161748,1
Na0.21237897 Ti0.02002219 B0.24854598 O0.51905285,1
Li0.41627982 Sn0.00903123 B0.14300713 O0.43168183,0
V0.2399816 Bi0.06402576 O0.69599264,1
Na0.15865687 B0.2810354 Mo0.01485655 O0.54545118,1
Tl0.10903906 Ga0.1385991 Ge0.16331455 O0.58904729,1
Ca0.06589359 La0.0028725 B0.34441263 O0.58682128,1
K0.14748032 Si0.25028225 Sn0.00931092 O0.59292651,1
Ba0.01732336 B0.38614131 O0.59653533,0
Pr0.01278442 Al0.0765058 Si0.25750432 O0.65320545,1
Na0.18657845 Ta0.04846129 Ge0.18350594 O0.58145432,0
Li0.25163969 Al0.07023531 Si0.14898406 O0.52914093,0
La0.0142058 Mg0.44626699 Mo0.01798788 O0.52153933,1
Rb0.11523339 Si0.22374978 Bi0.06236023 O0.5986566,1
Ba0.2414899 Ti0.00119181 Al0.20537791 O0.55194038,1
Al0.05389614 B0.28617229 Pb0.03449236 O0.4637508 F0.16168841,1
Ge0.14865068 Pb0.27702398 O0.57432534,0
Na0.04399156 B0.32123743 Mo0.03272977 O0.60204124,0
Li0.46443982 V0.03807569 P0.04859296 O0.44889153,1
Zn0.15102096 Si0.01860171 B0.25686118 O0.57351615,1
Sr0.08704832 V0.07621593 B0.22365904 O0.61307671,1
Ba0.09238686 Al0.03952281 Si0.23880642 O0.62928391,0
La0.00658895 Mg0.08592944 P0.20453026 O0.51132564 F0.19162572,1
Na0.13286819 Th0.00548925 B0.31369198 O0.54795057,0
La0.01037533 Ge0.26717275 Bi0.06901737 O0.65343455,1
Na0.30897143 Ti0.00870322 B0.20417328 O0.47815207,0
La0.00627008 Al0.12062208 Si0.22758987 O0.64551797,0
Tl0.05994428 B0.34903131 Pb0.01875266 O0.57227176,0
Ca0.16168212 Zn0.05538062 Si0.18862484 O0.59431242,1
Ti0.10443235 P0.18141248 Pb0.02587964 O0.68827553,0
Ba0.03168364 La0.01180902 B0.36284407 O0.59366327,1
Ca0.0869088 V0.22955065 Sb0.00910206 O0.6744385,1
Zn0.14635125 Co0.23174674 B0.09752161 O0.5243804,0
La0.01910463 Ga0.18523914 Ge0.16304686 O0.63260937,0
Nb0.04849037 Tl0.01588612 Ge0.26881818 O0.66680534,0
K0.13392449 Nb0.06696225 Ga0.06595145 Pb0.04451132 O0.06696225 F0.62168824,1
U0.02556021 Zn0.09413336 P0.20271212 O0.6775943,0
Sr0.11313247 Al0.14231524 Ge0.13931565 O0.60523664,0
K0.09832225 Mg0.07674131 B0.27961361 O0.54532284,1
Na0.26875482 Fe0.0549002 Si0.15320576 O0.52313923,1
Ca0.02017185 B0.38370132 Mo0.00010075 O0.59602608,1
Na0.26887383 Fe0.084027 Si0.14287842 O0.50422075,1
Nd0.01237117 Bi0.00175481 Mo0.24117127 O0.74470276,0
Na0.12114443 Mg0.16525938 Si0.16258819 O0.55100799,1
Cd0.19963407 Si0.16831794 B0.03831122 O0.59373677,0
Mn0.06182176 Si0.12873895 P0.14003989 O0.66939939,1
Cd0.09358921 B0.32512863 O0.58128216,1
Na0.18760702 Mn0.07393358 P0.13432841 O0.40298523 F0.20114577,1
Th0.02756246 Mg0.26606011 Si0.12839746 O0.57797996,0
Ba0.04140994 Li0.56708565 Bi0.02662066 O0.36488375,1
Th0.00952505 Ge0.20850121 Pb0.17296061 O0.60901313,0
La0.03297513 B0.36702487 O0.6,0
V0.23468502 Cr0.07144097 O0.69387401,0
Na0.25862125 B0.2259624 W0.01179053 O0.50362582,1
K0.04336367 La0.03164111 Si0.28528391 O0.63971132,1
Y0.02530764 Fe0.01581273 B0.35887962 O0.6,0
Ca0.13424966 B0.29260027 O0.57315007,0
Cd0.15000117 Ge0.23333255 O0.61666628,1
V0.24360408 Cd0.04172784 P0.01826573 O0.69640235,1
Ba0.21269881 B0.22984095 O0.55746024,1
Ba0.01552813 B0.38757749 O0.59689437,0
Bi0.2406063 B0.14192246 Pb0.02183905 O0.59563219,0
K0.00103378 Ti0.21276189 P0.10290391 O0.68330043,0
Ag0.04016089 B0.32082813 P0.03933952 O0.59967145,1
Ti0.19433992 Tl0.06844072 Ge0.10477305 O0.63244631,0
Nb0.04265258 Bi0.04265258 B0.29763382 O0.61706103,1
K0.1353366 Ta0.01828618 Si0.24433116 O0.60204607,1
Ba0.0819978 Ti0.08258068 Ga0.23530495 O0.60011658,0
Zn0.18403591 B0.25277127 O0.56319282,1
Ge0.12130188 B0.25443774 O0.62426038,1
Li0.31361924 Sn0.0168773 B0.19832662 O0.47117685,1
Sr0.06405601 V0.21865329 B0.04264059 O0.67465011,1
Sr0.12044012 Al0.05439944 Si0.20770705 O0.61745339,1
Hf0.00372601 Cd0.17045829 Si0.21596846 O0.60984724,0
Nb0.02971138 P0.24172655 Pb0.02498362 O0.70357845,1
Al0.04097269 Zn0.12396436 Si0.21654652 O0.61851643,0
Ba0.04600695 Ge0.07227852 B0.27646022 O0.60525431,1
Na0.19546962 B0.28271823 O0.52181215,0
Al0.02319878 Zn0.08716706 Si0.25588965 O0.63374452,0
Ca0.08877602 B0.32897918 O0.5822448,1
Sr0.0888374 Zr0.02894793 B0.29419256 O0.58802211,1
K0.1550661 Ti0.06036545 Si0.19543484 O0.58913362,1
K0.33329659 Nb0.06389225 Ge0.09214409 O0.51066708,1
Nb0.19353219 Ge0.08193701 Pb0.03841314 O0.68611765,0
Y0.03741187 Ga0.13611519 Si0.18872745 O0.63774549,0
Ca0.12367778 Sn0.00549842 B0.29445967 O0.57636413,1
Ba0.02200918 In0.03183492 Ge0.2688776 O0.5377552 F0.13952311,1
Sr0.03773918 V0.26414904 O0.69811178,1
La0.03421153 Ti0.03098722 B0.3286038 O0.60619744,0
V0.16579532 Ag0.08113119 P0.08514846 O0.66792504,1
Si0.24358532 Pb0.11901219 I0.06243929 O0.57496319,0
Ba0.04307421 Mg0.08094581 Al0.04830307 P0.14490922 O0.43472766 F0.24804003,0
Ga0.3400374 Ge0.03807027 Pb0.01784784 O0.60404449,0
Na0.05169548 Al0.05922215 B0.30976056 O0.57932181,1
Ca0.10147742 Fe0.043395 Si0.22951922 O0.62560836,1
Cd0.04131263 Ga0.06826517 Si0.24890394 O0.64151826,0
Cs0.06644215 Ti0.19761589 Ge0.10249637 O0.63344559,1
Li0.45943129 P0.07347181 Cl0.10740343 O0.35969346,1
Ge0.31801833 Bi0.018378 O0.66360367,1
Sr0.07530998 Sb0.06377572 P0.19712592 O0.66378837,1
Li0.33397747 Si0.1663446 O0.49967793,1
Na0.08019038 Fe0.01902419 Si0.28055535 O0.62023008,1
Zr0.09092677 W0.18180492 O0.72726831,0
Rb0.0202341 Tl0.0751962 Si0.28561818 O0.61895152,1
Na0.2632974 B0.24202156 O0.49468104,1
Sr0.09196841 Zn0.01508343 P0.22454181 O0.66840635,1
Mg0.17697268 Be0.00965617 B0.25069691 O0.56267423,1
Ba0.0574339 Zn0.07296185 Si0.24640284 O0.62320142,1
Bi0.00582378 B0.38800621 Mo0.00385626 O0.60231376,0
Sr0.05555392 Li0.34546719 B0.14827655 O0.45070234,0
Ba0.0539396 Zn0.08733906 Si0.23914756 O0.61957378,1
Li0.12537957 Al0.05743559 Si0.22278056 O0.59440429,0
K0.21208094 Si0.20917145 Sn0.01812142 O0.5606262,1
