formula,target
Ge0.3035007 Bi0.03579916 O0.66070014,1
Ba0.00021876 Mo0.21019193 P0.04536993 O0.74421938,0
B0.22282772 P0.05119437 Pb0.1318752 O0.59410271,0
V0.04450291 Cd0.02746884 B0.31572086 O0.6123074,1
Ti0.05470394 V0.10122297 P0.13760222 O0.70647087,1
Tl0.11717997 Ge0.27474335 O0.60807668,1
K0.03945882 B0.31718582 Mo0.03696181 O0.60639356,1
Ba0.02954656 Ca0.204341 Si0.17740829 O0.58870415,0
Li0.24754958 Al0.00383516 Si0.20636258 O0.54225268,0
Na0.1884796 Fe0.01822719 Si0.22694207 O0.56635113,1
Mg0.06943328 Be0.28083593 B0.11978463 O0.52994616,0
Mg0.16339993 Al0.07821976 Si0.15921691 O0.59916339,0
Ca0.16840076 Sb0.00879037 P0.18320645 O0.63960243,1
Zn0.176544 In0.00784342 B0.25092138 O0.5646912,1
Li0.30527634 V0.00835907 B0.2051315 O0.48123309,1
Li0.2979184 Si0.17860273 W0.00432855 O0.51915032,0
Mn0.04748793 Sn0.12354924 P0.18797876 O0.64098407,1
K0.01180891 Bi0.07588882 B0.31702583 O0.59527644,0
Y0.07510226 Al0.05106507 Si0.22819389 O0.64563878,0
Ti0.29055003 B0.00212637 Pb0.061517 O0.64580661,0
K0.35478348 V0.08728534 B0.06493043 O0.49300074,0
Ba0.11876298 Nb0.04203142 P0.17581831 O0.6633873,1
Ca0.11198553 Ga0.09163398 Ge0.18231467 O0.61406583,1
K0.25583756 Na0.09734458 Mn0.000534 P0.09734458 O0.29203373 F0.25690556,0
Ba0.13793843 V0.06176968 B0.2031717 O0.59712019,0
Hf0.01644451 Si0.26475541 Pb0.07820012 O0.64059996,0
Na0.08125139 Si0.11147195 B0.21748283 O0.58979383,1
Sr0.06832555 Ti0.19389294 Si0.09389003 O0.64389148,1
Nb0.07914355 Si0.20424067 Pb0.05513778 O0.661478,1
Zr0.02091358 Ga0.08417298 W0.1817067 O0.71320674,0
Na0.11045418 B0.32023425 O0.50184535 F0.06746623,1
Li0.12949306 Mg0.01622158 B0.3093269 O0.54495846,1
Sr0.1092446 Si0.26034221 Pb0.00024208 O0.63017111,0
Na0.38739111 Ga0.07402152 Ge0.07795318 O0.46063419,0
Na0.29911945 B0.22052833 O0.48035222,0
Zn0.11295811 P0.16780864 W0.04668838 O0.67254487,0
Ba0.00791886 Li0.28213176 Mo0.10299498 O0.30898493 F0.29796948,0
Ga0.36386293 Bi0.03613707 O0.6,0
Ca0.19552404 Ga0.0359967 Ge0.17298673 O0.59549254,0
Sn0.4396502 P0.00551069 Cl0.20282438 O0.35201473,0
Be0.14055189 Zn0.14511699 Si0.14288741 O0.57144371,1
P0.21116694 Pb0.0869719 Br0.02992533 O0.52791735 F0.14401847,0
Ge0.23197131 Pb0.15204303 O0.61598566,0
Cs0.05984934 Si0.22205283 B0.097627 O0.62047083,1
Ca0.00341312 V0.23467126 B0.06872974 O0.69318588,1
B0.33978842 Mo0.01643493 Pb0.04239463 O0.60138203,0
La0.07130093 Zn0.07216697 B0.27096549 O0.58556661,1
Zn0.17298942 B0.21239427 Pb0.06151774 O0.55309857,0
Ba0.1102757 Mg0.10061354 Ge0.03688528 B0.14678085 O0.40421754 F0.20122709,1
Ca0.12991132 Ti0.06612467 P0.15480096 O0.64916305,0
K0.11582945 Mo0.20613004 P0.00049591 O0.6775446,0
Sr0.02993122 Ca0.13452015 B0.2684389 O0.56710973,0
Sr0.20701197 Al0.07697568 Si0.13117895 O0.5848334,1
Th0.00770923 Be0.23637015 B0.2016528 O0.55426782,0
Sr0.03689316 Ca0.05258899 B0.32841428 O0.58210357,1
Li0.49073951 Ta0.01415515 Si0.07144923 O0.4236561,0
Mg0.10500372 Al0.02736391 B0.28863311 O0.57899926,1
Cu0.01679602 B0.36547858 Pb0.02635576 O0.59136965,1
Mn0.07908834 Si0.16912359 P0.09555788 O0.6562302,1
Mn0.07739938 Fe0.02315103 B0.31492947 O0.58452012,1
K0.045472 Sn0.00795361 B0.36317247 O0.58340192,0
Li0.20004376 Bi0.0299066 B0.25006714 O0.51998249,1
Ba0.02524894 Nd0.10912547 Ge0.16258377 O0.32516754 F0.37787428,0
Ba0.02072432 Sr0.12187739 Ge0.23826553 O0.61913276,1
Na0.16355482 Al0.01109064 Si0.24231373 O0.58304082,1
Ba0.0234522 In0.12643766 P0.0234522 H0.0234522 Pb0.11002799 O0.09380879 F0.59936897,0
Mg0.14859126 Si0.19196599 Pb0.06345976 O0.59598299,0
Na0.02330254 B0.38601848 O0.59067899,1
Al0.04260828 Zn0.04002408 Si0.27114371 O0.64622393,1
K0.14180784 Nb0.07090392 Ga0.08930269 Pb0.00155132 O0.07090392 F0.62553031,1
Na0.10386489 Ti0.0205538 Ge0.26084709 O0.61473422,1
Sr0.20161436 Al0.16290085 Zn0.09475959 O0.54072521,1
Ba0.01400985 Na0.41241694 Nb0.03328414 O0.06656828 F0.47372078,0
Ca0.12991894 Al0.26214323 Si0.02826802 O0.57966982,0
K0.12120064 B0.25682826 Mo0.0440321 O0.577939,1
Sr0.02484343 Li0.03445972 B0.35944943 O0.58124743,1
K0.00174919 Na0.34736834 Ge0.15877457 O0.4921079,0
Sr0.20390398 Al0.10393476 Si0.11078505 O0.58137621,0
Al0.09415276 Zn0.17688475 Si0.13694953 O0.59201296,0
Ni0.0114303 B0.18139203 P0.14961695 O0.65756072,0
Ba0.10827575 Ti0.00204192 Al0.31092909 O0.57875323,1
Na0.27337286 Ca0.11929247 Ge0.11711859 O0.49021608,0
Zn0.07406104 B0.34075117 O0.58518779,0
Na0.26958072 Ge0.15783662 Pb0.06105953 O0.51152313,0
Mg0.24002911 Ti0.06729504 P0.09087334 O0.60180252,1
Na0.22903186 Ti0.07045771 Ge0.14835969 O0.55215074,1
Ba0.04720674 La0.01422219 P0.22899743 O0.57249358 F0.13708006,1
Sr0.023069 Mg0.25059206 Si0.15089262 O0.57544631,0
Zr0.04414511 Al0.15037184 Si0.16387836 O0.64160469,1
Tl0.00772873 B0.39502974 Pb0.00041627 O0.59682525,1
Zn0.17068632 Si0.21954246 O0.60977123,1
Mg0.14318232 Ge0.22447203 Pb0.02010964 O0.61223601,0
Ba0.05545053 Zn0.13924903 B0.24424034 O0.56106009,1
Na0.15761614 Nb0.02592286 Si0.22428192 O0.59217907,1
Ni0.04437812 B0.21084327 P0.10341329 O0.64136532,1
Sr0.073768 V0.13934397 B0.14590404 O0.64098399,1
V0.26659613 P0.01911816 O0.71428571,0
Cd0.1156001 Ge0.01077749 B0.29458693 O0.57903548,1
Ge0.23934588 Bi0.11278495 O0.64786918,1
Li0.47604167 P0.07706598 Cl0.03241314 O0.41447921,1
Ge0.03680106 B0.16593542 P0.13564522 O0.6616183,1
