formula,target
Zn0.118828 B0.3049376 O0.5762344,0
B0.21484243 Pb0.23144697 O0.55371061,1
Cd0.15116279 B0.27906977 O0.56976744,1
Ta0.05503102 Zn0.1346102 B0.21526841 O0.59509037,1
Ba0.17185698 Ca0.02037678 Ge0.13206459 B0.07958478 O0.55536332 F0.04075356,1
Ti0.0295003 B0.24563516 Pb0.1487056 O0.57615894,1
K0.1106175 Bi0.26832519 B0.06530431 O0.555753,0
Sr0.04545455 La0.20409091 B0.15954545 O0.59090909,0
Sm0.0836 Ga0.0792 B0.2372 O0.6,1
Mn0.1164 Al0.0404 B0.2432 O0.6,1
Sr0.02032914 Ge0.07454017 B0.29428848 O0.61084221,1
Li0.14858681 B0.29125168 Cl0.09798116 O0.46218035,0
Ba0.03272568 La0.17658687 B0.19723259 O0.59345486,1
Li0.01957586 Bi0.06117455 B0.32707993 O0.59216966,1
V0.1102316 Cd0.1920258 B0.09205512 O0.60568748,1
Zn0.20257235 B0.23794212 O0.55948553,1
Ba0.11448685 Zn0.16969248 B0.17265654 O0.54316413,0
Bi0.18118893 B0.19014658 W0.01791531 O0.61074919,0
Ba0.09314227 B0.32548618 O0.58137155,1
V0.03686636 Cd0.15898618 B0.22119816 O0.58294931,1
K0.19846596 B0.28092042 O0.52061361,0
Sr0.27272727 B0.18181818 O0.54545455,1
Ti0.02059689 B0.09247583 Pb0.35350988 O0.5334174,1
K0.01999184 Bi0.24683803 B0.14116687 O0.59200326,0
Ba0.10606586 Zn0.13830156 B0.20450607 O0.55112652,1
Sr0.04545455 La0.045 B0.31863636 O0.59090909,1
Ti0.11447441 B0.22344524 Pb0.04898184 O0.61309851,0
Li0.04608076 Ge0.07078385 B0.28741093 O0.59572447,1
Cd0.15031921 B0.27974463 O0.56993616,1
Bi0.22648365 B0.15704481 W0.01029471 O0.60617683,0
Ti0.10477499 B0.13878392 Pb0.16935761 O0.58708348,1
Li0.06458333 Mn0.07916667 B0.29791667 O0.55833333,1
Ba0.06077739 Ge0.29222615 B0.00070671 O0.64628975,0
La0.2368 B0.1632 O0.6,1
Sm0.1024 Ga0.1196 B0.178 O0.6,1
La0.22675049 Cd0.02796445 B0.15087795 O0.59440711,0
Li0.04963899 Cd0.02617329 B0.34927798 O0.57490975,1
Th0.03435306 Mg0.06168506 B0.30942828 O0.5945336,0
Li0.10229277 La0.06084656 B0.27777778 O0.55908289,1
Sr0.05771938 La0.15110277 B0.20272173 O0.58845612,1
Zn0.0915116 Bi0.01223553 B0.31455519 O0.58169768,0
Zn0.01309499 Bi0.12512991 B0.2643941 O0.597381,1
Ca0.11847673 V0.18006582 B0.05312647 O0.64833098,1
Li0.05466667 Tl0.24333333 Ge0.18433333 O0.51766667,0
Zr0.00802277 Cd0.0926501 B0.31625259 O0.58307453,0
