formula,target
Na0.05292702 Ti0.00449078 P0.25918204 O0.68340016,0
Na0.14426419 Be0.1013905 B0.23232908 O0.52201622,0
Ba0.10688666 Na0.02534672 P0.21377331 O0.6539933,1
Na0.11320755 Cu0.01886792 P0.22641509 O0.64150943,1
Ba0.02130553 Na0.11468722 P0.11468722 W0.09066183 O0.61604714 F0.04261106,1
Na0.37417737 Be0.06424318 B0.12409903 O0.43748041,0
Na0.07692308 Cu0.03846154 P0.23076923 O0.65384615,1
Na0.125 Cd0.25 Si0.10416667 O0.52083333,0
K0.02202447 Na0.17730812 Mn0.02313682 P0.17730812 O0.53192436 F0.06829811,1
Na0.28828829 V0.0045045 P0.15765766 O0.54954955,0
Ba0.09359068 V0.16314639 Si0.10779315 O0.63546977,0
Ba0.10044978 Na0.12518741 Mn0.02423788 P0.12518741 O0.37556222 F0.24937531,1
Na0.10484721 Mg0.05268704 Mn0.10590095 P0.10484721 O0.31454162 F0.31717597,1
Na0.09687425 Mn0.03245049 B0.31591506 O0.5547602,1
Na0.09490741 Al0.11522634 B0.20884774 O0.48611111 F0.09490741,0
Na0.1282586 B0.30552659 O0.47862357 F0.08759124,1
Na0.27182962 Y0.02913843 As0.13591481 O0.47570184 F0.0874153,1
Na0.2025012 B0.27849928 O0.51899952,0
Ba0.03059632 Na0.15641586 B0.25039026 O0.4061817 F0.15641586,0
Na0.22092295 Fe0.02129881 P0.17581959 O0.58195866,1
Ba0.00849276 Na0.28929018 Y0.00858216 As0.14464509 O0.50625782 F0.04273199,0
Na0.01154163 Ca0.23784007 Si0.16900247 O0.58161583,0
Na0.12933333 Li0.404 Ge0.06666667 O0.4,0
Na0.07531381 Zr0.04346815 B0.30264993 O0.57856811,0
Na0.15342329 Ge0.04797601 B0.25037481 O0.54822589,1
Na0.09986802 Bi0.10338759 B0.2366916 O0.56005279,0
Li0.05868119 Al0.09255898 Ge0.22686025 O0.62189958,1
Na0.14900061 Sc0.09145972 Si0.1826166 O0.57692308,1
Na0.07799805 Si0.26096848 W0.02502437 O0.6360091,1
Na0.31828979 Fe0.05278438 B0.15624175 O0.47268409,1
Na0.24981245 B0.25006252 O0.49987497 F0.00025006,0
Na0.2076987 Mn0.05898643 B0.22819164 O0.50512323,0
Na0.26337638 V0.11023985 B0.08763838 O0.53874539,1
Na0.07898144 Bi0.09451877 B0.25809236 O0.56840742,1
Na0.0539629 Bi0.18591906 B0.1817032 O0.57841484,0
Na0.07305936 Ca0.09041096 P0.20273973 O0.63378995,1
Na0.03465765 Si0.13736264 Pb0.26796281 O0.56001691,0
Na0.1555278 Fe0.06308557 Si0.20299813 O0.57838851,1
Na0.03915427 Ca0.17462803 Si0.19733751 O0.58888019,0
Na0.37933333 Si0.14366667 O0.477,1
Na0.194 Ti0.151 Ge0.08533333 O0.56966667,0
Na0.08695652 B0.34782609 O0.56521739,1
Na0.04468133 Al0.03402132 B0.33023361 O0.5463824 F0.04468133,1
Na0.10606061 Ca0.09970674 P0.18328446 O0.61094819,0
Na0.14095745 Ti0.13981763 Si0.09954407 O0.4787234 F0.14095745,0
Na0.27533333 Ge0.19566667 O0.529,0
Na0.23591549 Mn0.05751174 P0.1185446 O0.3556338 F0.23239437,1
Na0.38666667 Si0.14 O0.47333333,1
Na0.20616114 Ca0.0492891 P0.16919431 O0.57535545,0
Ba0.07161998 Na0.09719854 P0.09719854 W0.07478685 O0.51595615 F0.14323995,1
Na0.32329209 Ti0.01075847 B0.19311458 O0.47283486,0
Na0.30133333 Ti0.057 Ge0.12566667 O0.516,0
Na0.03571429 Zn0.03571429 P0.25 O0.67857143,1
Na0.28420007 B0.19211659 O0.33686651 F0.18681683,0
Na0.21907293 Mn0.08621199 B0.19958665 O0.49512843,0
Na0.11553999 Al0.11527067 B0.19229733 O0.46135201 F0.11553999,1
Na0.13846154 Al0.07692308 Si0.2 O0.58461538,1
Na0.19574299 Ca0.00019893 P0.20171076 O0.60234732,1
Na0.16322581 Y0.03225806 Si0.22483871 O0.57967742,1
Na0.34916352 B0.19050189 O0.46033459,1
Na0.06681086 Al0.03172314 B0.31482817 O0.51982696 F0.06681086,1
Na0.16463615 In0.01317089 Si0.24003951 O0.58215344,1
Na0.03891051 Ca0.14760052 P0.1846952 O0.62879377,0
Na0.13840928 Al0.00905746 B0.28021511 O0.43390886 F0.13840928,0
Na0.1645896 Ta0.09024495 Ga0.17490331 O0.57026214,0
Ba0.0142029 Na0.40521739 B0.14550725 O0.43507246,0
Na0.10480349 V0.01310044 B0.31877729 O0.56331878,1
Na0.21334735 Ge0.05018392 B0.21177089 O0.52469785,1
Na0.39165237 Ca0.01257862 B0.15494568 O0.44082333,1
Na0.11275773 Al0.03350515 Si0.24903351 O0.60470361,1
Na0.29677419 V0.0560794 B0.14342432 O0.50372208,0
Na0.30628869 Si0.1502118 Mo0.02248289 O0.52101662,1
Na0.10651942 V0.21588885 Fe0.03384396 O0.64374777,1
Na0.28585534 Mo0.0520859 P0.1036781 O0.55838065,0
Th0.01284176 Ge0.15782933 Pb0.24399337 O0.58533554,1
Na0.13733333 Si0.20166667 Ge0.063 O0.598,1
Ca0.0004356 V0.27530129 Sb0.01422971 O0.7100334,0
Be0.03223301 Cd0.13281553 Ge0.22330097 O0.61165049,1
Na0.19047619 Ga0.23714286 B0.04857143 O0.52380952,0
Na0.015625 Al0.0625 P0.234375 O0.6875,0
Na0.12805755 Ca0.08021583 Ge0.21582734 O0.57589928,1
Na0.21962938 Ca0.0295127 Ge0.20384351 O0.54701441,1
Na0.066 Li0.46933333 Ge0.06566667 O0.399,0
Na0.04933333 Zr0.01666667 Si0.292 O0.642,1
Na0.11209964 Ga0.28692171 B0.04581851 O0.55516014,0
Ba0.06571936 Na0.25293073 Si0.16305506 O0.51829485,1
Na0.02015237 Cd0.06955026 B0.33226837 O0.578029,0
Na0.24625268 Sr0.07066381 Si0.16309779 O0.51998572,1
Na0.07383548 Tl0.16501487 B0.25668979 O0.50445986,1
Na0.11047836 Ga0.1078208 As0.16135156 O0.62034928,1
Cu0.3280683 Mo0.11462113 I0.05997866 Br0.03884739 O0.45848453,1
Ba0.21136364 Ta0.00909091 Ga0.21818182 O0.56136364,0
K0.15466667 Li0.14733333 Ge0.18233333 O0.51566667,1
Ca0.024 V0.272 O0.704,1
Na0.13789847 Mn0.01463991 B0.305549 O0.54191263,1
Na0.40675007 Zn0.01600233 B0.14314809 O0.43409951,0
Ca0.0669464 V0.24718673 Sb0.00038146 O0.68548541,1
Ca0.06488476 V0.22622506 Sb0.03137711 O0.67751307,1
Ca0.13154919 Be0.00037693 Ge0.24538259 O0.62269129,1
Ge0.17763158 Pb0.23355263 O0.58881579,1
Zn0.15959184 Cd0.06612245 Ge0.18285714 O0.59142857,0
Ba0.22248088 Ta0.0046558 Ga0.21549717 O0.55736615,0
Ba0.22296395 Ga0.22162884 O0.55540721,1
K0.08217993 Ta0.00086505 Ga0.34948097 O0.56747405,0
Ge0.18166939 Pb0.22749591 O0.5908347,1
Na0.15909091 Mn0.02272727 Zn0.04545455 P0.15909091 O0.47727273 F0.13636364,1
La0.08695652 Be0.11400205 Ge0.1848682 O0.61417323,0
Na0.22463306 B0.16560306 P0.07115507 O0.53860881,0
Fe0.13436223 Bi0.22968679 Pb0.04493872 O0.59101226,1
Tl0.00114613 Ge0.21575931 Bi0.14040115 O0.64269341,1
Zn0.13513514 Sb0.10810811 Mo0.08108108 Cl0.27027027 O0.40540541,0
Ba0.10926602 Cu0.1109266 Bi0.2238459 O0.55596147,1
Ca0.05689534 Fe0.28190119 Bi0.07258253 O0.58862093,1
K0.25843339 Ga0.14236707 Ge0.08547742 O0.51372213,0
Ca0.1769616 Cu0.04674457 Bi0.22103506 O0.55525876,1
K0.39133333 Ge0.13766667 O0.471,1
K0.21854664 Ga0.18655098 Ge0.06860087 O0.52630152,0
Na0.29268293 Zn0.02439024 P0.14634146 O0.53658537,0
K0.07386785 Ta0.14587973 Ga0.15144766 O0.62880475,0
Ge0.11828688 Bi0.13460231 Pb0.15431679 O0.59279402,0
Rb0.00266667 Ti0.05266667 Ge0.27933333 O0.66533333,1
K0.08056112 Ta0.07855711 Ga0.24168337 O0.5991984,0
Ba0.18042158 Ga0.10861022 Ge0.12254377 O0.58842444,1
K0.37476577 Ga0.06308557 Ge0.09337914 O0.46876952,0
Ba0.03217247 V0.26733002 O0.70049751,0
Cu0.10382092 Bi0.15206484 Pb0.20609803 O0.53801621,1
Na0.11320755 Al0.09433962 P0.16981132 O0.62264151,0
Na0.15710456 Ti0.09168901 B0.19571046 O0.55549598,0
Na0.10461267 Al0.08607371 Sb0.25115868 O0.55815493,0
Na0.05315789 La0.21052632 Si0.13131579 O0.605,0
Na0.10639762 Al0.04012841 B0.27195597 O0.46113277 F0.12038523,1
Na0.1374873 Sr0.01591602 Si0.253979 O0.59261768,1
Na0.28866667 Sn0.00666667 Ge0.18233333 O0.52233333,0
Na0.42058824 Ge0.025 B0.11764706 O0.43676471,0
Na0.19009052 B0.28442115 Mo0.00095283 O0.52453549,1
Ba0.05941176 Na0.05882353 Mn0.17588235 P0.05882353 O0.17647059 F0.47058824,1
Ba0.01165141 Na0.23825942 Y0.04767566 As0.11912971 O0.41695399 F0.16632981,1
Na0.19789171 B0.28126497 O0.52084332,0
Na0.04026391 Fe0.10488919 P0.19353747 O0.66130942,1
Na0.13260073 B0.31159951 O0.51159951 F0.04420024,1
Na0.26742462 V0.03163618 B0.19525457 O0.50568463,1
Na0.0754717 Sr0.10987791 Ge0.22234554 O0.59230485,1
Na0.2689356 Ge0.1981982 Pb0.001001 O0.5318652,0
Na0.086845 V0.17075852 B0.10883107 O0.63356541,1
Na0.08450704 Bi0.3063922 B0.04290358 O0.56619718,1
Ba0.06900878 Na0.22751987 Y0.01338352 As0.11375993 O0.39815977 F0.17816813,1
Na0.07489301 Zn0.06990014 Ge0.24928673 O0.60592011,1
Na0.17878427 Y0.10473778 As0.08939213 O0.31287247 F0.31421335,0
Na0.09505037 Al0.13009198 Bi0.21287779 O0.56197985,0
Na0.14186992 V0.12560976 B0.13902439 O0.59349593,1
Na0.05058681 V0.03885067 B0.31525698 O0.59530554,1
Na0.00036271 V0.09357998 B0.2687704 O0.63728691,1
Na0.25313283 Fe0.01002506 B0.23809524 O0.49874687,1
Na0.23 Ti0.11866667 Ge0.09966667 O0.55166667,0
Na0.00033333 V0.167 B0.166 O0.66666667,1
Sr0.12163892 Ti0.1177977 Ga0.16133163 O0.59923175,0
Ba0.06450216 Na0.08831169 Y0.12987013 As0.04415584 O0.15454545 F0.51861472,0
Ba0.00200401 Na0.25517702 Ge0.20440882 O0.53841015,0
K0.02540416 Na0.12779061 Mn0.10341288 P0.12779061 O0.38337182 F0.23222992,1
Na0.03333333 Ti0.03433333 Ge0.28233333 O0.65,1
Li0.06866667 Ti0.06533333 Ge0.23366667 O0.63233333,0
Th0.02514507 Cd0.16054159 Ge0.20116054 O0.6131528,1
Cs0.29009095 Ta0.0933461 Ga0.09526089 O0.52130206,1
Ta0.10970927 Cd0.04223807 Ge0.17718047 O0.67087219,0
Li0.03663004 Ti0.04995005 Ge0.26506827 O0.64835165,0
Na0.16402116 Ge0.16213152 Pb0.13378685 O0.54006047,0
Na0.39376218 La0.01559454 B0.14814815 O0.44249513,0
Na0.23732252 Ge0.20588235 Pb0.01318458 O0.54361055,0
Na0.14285714 B0.28571429 O0.42857143 F0.14285714,1
Sr0.221412 Ta0.00861783 Ga0.21080544 O0.55916473,0
Ba0.22159656 Ta0.00861212 Ga0.21066578 O0.55912554,0
Na0.2077062 Ti0.1487056 B0.09692956 O0.54665864,0
K0.14316316 Na0.03605855 Mn0.17779365 P0.03605855 O0.10817565 F0.49875045,0
Na0.17915418 Ti0.09357309 Ge0.15018315 O0.57708958,1
Na0.22079772 V0.0337132 B0.22032289 O0.52516619,1
Na0.20034247 Ti0.11329909 B0.14383562 O0.54252283,0
K0.17160579 Na0.06891799 Mn0.10406616 P0.06891799 O0.20675396 F0.37973811,0
Na0.16263378 Li0.02326664 Mn0.04676594 P0.16263378 O0.48790135 F0.11679851,1
Na0.28612059 Ti0.06797497 B0.14675768 O0.49914676,0
Na0.14814815 Sr0.11111111 Si0.18518519 O0.55555556,1
Na0.12682603 Ti0.26660027 B0.00398406 O0.60258964,0
Ba0.08753024 Na0.09236859 Y0.10930284 As0.0461843 O0.16164504 F0.50296899,0
Na0.13614573 Fe0.21069032 Si0.10139022 O0.55177373,0
Ba0.21891534 Ta0.00330688 Ga0.2202381 O0.55753968,0
Tl0.30933333 Ge0.17866667 O0.512,1
Na0.15449804 Si0.22653194 W0.02216428 O0.59680574,1
Na0.06257379 Y0.11452184 Si0.20661157 O0.6162928,0
Na0.28647592 Y0.01723832 As0.14323796 O0.50133286 F0.05171495,0
Na0.16333178 Fe0.25639832 B0.04560261 O0.53466729,1
Na0.08932462 Ga0.17124183 B0.1751634 O0.56427015,0
Na0.13616228 B0.27092562 Mo0.02961063 O0.56330147,1
Na0.1412567 B0.19288846 Mo0.07647345 O0.58938139,1
Na0.14951292 V0.09063956 B0.18339687 O0.57645066,1
Na0.17873874 Be0.08108108 Si0.18990991 O0.55027027,0
Ba0.07475459 Na0.03423106 B0.31965769 O0.57135666,1
La0.05236364 Cd0.14436364 Ge0.19345455 O0.60981818,1
Na0.0249047 Tl0.24447268 B0.23837357 O0.49224905,0
Ba0.02061641 Na0.18763015 P0.18763015 O0.56289046 F0.04123282,1
Na0.0651896 Al0.05368556 Sb0.30720068 O0.57392416,1
Na0.05130362 Al0.07527334 Sb0.29394449 O0.57947855,0
Na0.08591885 Bi0.2620959 B0.08635279 O0.56563246,0
Na0.25481229 Y0.04296501 As0.12740615 O0.44592151 F0.12889503,1
Na0.29 Ti0.08733333 Ge0.101 O0.52166667,0
Na0.0814029 Al0.09049578 Sb0.26066248 O0.56743884,0
Na0.36328342 Ti0.01164725 B0.16805324 O0.45701608,1
Na0.25925926 Cd0.11111111 Si0.12962963 O0.5,0
Ba0.09295072 Na0.09357455 B0.25077979 O0.4691204 F0.09357455,1
Ba0.02306945 Na0.04832443 B0.3428849 O0.53739679 F0.04832443,1
Na0.10233819 Sr0.01660454 Si0.27109454 O0.60996272,1
Na0.13533152 B0.31880109 O0.54586739,1
Na0.11293532 Fe0.19029851 Si0.12885572 O0.56791045,0
Ba0.03625304 Na0.24428224 Y0.0243309 As0.12214112 O0.42749392 F0.14549878,1
Na0.16317016 Ti0.11788212 Ge0.13386613 O0.58508159,1
Ba0.06264869 Na0.19032514 Y0.04837431 As0.09516257 O0.33306899 F0.2704203,1
Na0.1453373 Ti0.04737103 B0.25595238 O0.55133929,0
Na0.05263158 Al0.12884211 Sb0.23957895 O0.57894737,0
Na0.05258345 B0.22359396 Mo0.09053498 O0.63328761,0
Na0.28205128 B0.23076923 O0.48717949,0
Ba0.02151253 Na0.04435573 B0.35617654 O0.5779552,1
Na0.21716957 V0.15469613 B0.05312367 O0.57501062,1
Na0.15677204 B0.29298381 O0.48547931 F0.06476484,0
Na0.02241195 B0.38207044 O0.57310566 F0.02241195,1
Na0.20117647 B0.25235294 O0.41176471 F0.13470588,0
Na0.21877065 B0.22538004 O0.33906147 F0.21678784,0
Ba0.02115197 Na0.2611997 Y0.02191127 As0.13059985 O0.45709947 F0.10803775,1
Ba0.06907192 Na0.11962972 P0.11962972 W0.04865891 O0.50486589 F0.13814384,1
K0.15459682 Ga0.22958398 Ge0.06471495 O0.55110426,1
Ba0.05461836 Na0.22289823 Y0.02793142 As0.11144912 O0.3900719 F0.19303097,1
Na0.38274336 B0.17035398 O0.44690265,0
Na0.32237601 Zn0.03979239 B0.17474048 O0.46309112,0
Na0.18629344 Al0.02027027 B0.25579151 O0.47683398 F0.06081081,0
Na0.06415929 Ti0.0210177 B0.33628319 O0.57853982,0
Ba0.05 Na0.25 P0.15 O0.55,0
Ba0.01018003 Na0.2584655 Y0.03236177 As0.12923275 O0.45231462 F0.11744535,1
Na0.0242141 Al0.03780799 B0.32497876 O0.49957519 F0.11342396,0
Na0.04123282 Al0.0666389 Sb0.30862141 O0.58350687,0
Na0.07758621 Al0.01681034 Sb0.33663793 O0.56896552,0
K0.18695381 Na0.12484395 Mn0.00062422 P0.12484395 O0.37453184 F0.18820225,0
Ba0.09209545 Na0.1536167 Y0.05611484 As0.07680835 O0.26882923 F0.35253542,1
Na0.06730769 Al0.05480769 B0.29134615 O0.51923077 F0.06730769,1
Na0.12659099 Be0.03199174 Si0.24871001 O0.59270726,1
Ba0.07496252 Na0.12518741 Mn0.04972514 P0.12518741 O0.37556222 F0.24937531,1
Na0.08837614 Ga0.00130605 B0.34566826 O0.56464954,1
Ba0.04540295 Na0.15913734 Mn0.02270148 P0.15913734 O0.47741203 F0.13620885,1
Na0.06837607 Al0.07606838 Sb0.28290598 O0.57264957,0
Na0.20224719 V0.11918138 P0.07985554 O0.59871589,0
Na0.23559539 Si0.16133163 W0.04065301 O0.56241997,1
Na0.14961832 Ti0.06132316 B0.23664122 O0.5524173,1
Na0.13378685 Bi0.27482993 B0.04489796 O0.54648526,1
Na0.1368804 Ga0.27148704 B0.04638472 O0.54524784,0
Na0.25250501 Al0.09769539 B0.1508016 O0.498998,1
Na0.18102745 Ga0.18537646 Si0.08833922 O0.54525686,1
Na0.17405476 Mn0.04324207 P0.17405476 O0.52216428 F0.08648414,1
Na0.05399568 Si0.14794816 B0.19006479 O0.60799136,1
Na0.19260533 V0.1177988 B0.11951849 O0.57007739,1
Na0.12945656 Be0.0384216 Si0.24299065 O0.58913119,1
Na0.14285714 Mg0.07190476 Mn0.02333333 P0.14285714 O0.42857143 F0.19047619,1
Na0.24189398 Be0.01492537 B0.24292331 O0.50025733,0
Na0.04253545 Al0.04045038 B0.33402836 O0.58298582,1
Na0.23100907 B0.24263039 O0.43253968 F0.09382086,0
Na0.15081564 Sc0.0757156 Si0.19482918 O0.57863958,1
Ba0.10209694 Na0.1375043 B0.20831901 O0.41457546 F0.1375043,0
Ba0.04166667 Na0.125 P0.20833333 O0.625,1
Na0.0845987 Bi0.26290672 B0.08633406 O0.56616052,1
Na0.17181467 Fe0.00772201 P0.20656371 O0.61389961,1
Na0.02203742 Ti0.00873181 B0.37629938 O0.59293139,0
Na0.15163934 Fe0.00074516 P0.22019374 O0.62742176,1
Na0.11372549 Al0.01960784 Si0.26013072 O0.60653595,1
Na0.25062531 Fe0.24962481 O0.49974987,0
Na0.13636364 Al0.04363636 B0.27454545 O0.54545455,1
Na0.33684904 La0.01120633 Si0.1555702 O0.49637442,1
Na0.02082448 B0.38334042 O0.57501062 F0.02082448,1
Na0.06838186 Sr0.01455653 Si0.28943805 O0.62762356,1
Na0.04297038 La0.06424698 B0.3099708 O0.58281185,1
Na0.2195122 Ga0.24243902 B0.02585366 O0.51219512,0
Ba0.02599179 Na0.38645691 Si0.12277702 O0.46477428,0
Ba0.07661492 Na0.07511267 Ce0.09864797 P0.07511267 O0.22533801 F0.44917376,0
Na0.11460348 Fe0.20599613 Si0.11581238 O0.56358801,0
Na0.04544442 Be0.02316774 B0.35419915 O0.57718868,1
Na0.204 Ti0.14133333 Ge0.09 O0.56466667,1
Na0.16108787 Mn0.04837866 B0.26464435 O0.52588912,1
Na0.10767552 Sr0.09130593 Si0.21862495 O0.5823936,1
Ba0.12422167 Na0.0613325 B0.25155666 O0.50155666 F0.0613325,0
Na0.18238994 Ti0.05188679 P0.16307278 O0.60265049,0
Na0.18146016 Mn0.12147834 P0.09088155 O0.27264465 F0.33353529,1
Na0.13371151 Mn0.13641275 P0.10777958 O0.32333874 F0.29875743,1
Na0.00806452 La0.02379032 B0.37137097 O0.59677419,0
Na0.1046389 Mn0.15893516 P0.1046389 O0.31391671 F0.31787032,1
Na0.08504566 Si0.17094749 B0.14383562 O0.60017123,1
Na0.21413276 Mn0.02379253 P0.16678563 O0.50035689 F0.09493219,1
Na0.1877602 Mn0.02039967 P0.1877602 O0.5632806 F0.04079933,1
Na0.14285714 Mn0.0952381 P0.14285714 O0.42857143 F0.19047619,1
Na0.09160305 Sr0.04094379 Si0.26023595 O0.60721721,1
Na0.0519685 Ge0.13018373 B0.21259843 O0.60524934,1
Na0.09906292 Li0.2021419 Mn0.0334672 P0.09906292 O0.29718876 F0.26907631,0
Na0.19286511 Fe0.1638796 Si0.10033445 O0.54292085,0
Na0.1641791 B0.26865672 O0.40298507 F0.1641791,0
Na0.34575569 Sr0.03416149 Si0.13768116 O0.48240166,0
Na0.08695652 Al0.08695652 B0.26086957 O0.56521739,1
Na0.22702184 Ti0.05687545 P0.13966883 O0.57643389,0
Na0.21428571 Sr0.07142857 Si0.17857143 O0.53571429,1
Na0.04347826 Si0.10869565 P0.17391304 O0.67391304,1
Na0.26196298 Cd0.0478519 Si0.17045058 O0.51973454,1
Na0.11813106 Al0.11754334 Si0.17631502 O0.58801058,1
Na0.15781319 Ce0.02036299 Cd0.04316069 P0.15781319 O0.47343958 F0.14741036,1
Na0.15381084 Fe0.23347107 Si0.0748393 O0.53787879,0
Na0.03777778 Sr0.11111111 Si0.24037037 O0.61074074,0
Ge0.22548263 Bi0.0015444 Pb0.15984556 O0.61312741,1
Na0.24444444 Al0.06666667 P0.13333333 O0.55555556,0
Na0.12481241 Mn0.12531266 P0.12481241 O0.37443722 F0.25062531,1
Na0.08333333 P0.08333333 Pb0.19444444 Cl0.38888889 O0.25,0
K0.02520548 Na0.34465753 B0.17808219 O0.45205479,0
Na0.21290185 P0.19139877 O0.5741963 F0.02150309,1
Na0.09335038 Al0.07212276 B0.25319693 O0.48797954 F0.09335038,1
Na0.41060904 La0.01768173 Si0.11329404 O0.45841519,0
Na0.03381558 Ca0.03050375 P0.25379118 O0.68188949,1
Na0.27639028 Ti0.06060606 Ge0.13453213 O0.52847153,1
Na0.00563154 La0.0160901 B0.38053097 O0.59774739,0
Na0.27873669 B0.17701065 O0.26551598 F0.27873669,0
Ba0.04188816 Na0.08505209 Y0.14947906 As0.04252605 O0.14884117 F0.53221348,0
Na0.35014837 Bi0.10952252 B0.08038845 O0.45994065,1
K0.04547522 Na0.18167349 Mn0.00022738 P0.18167349 O0.54502046 F0.04592997,1
Na0.10303186 Ce0.02312436 Zn0.13078109 P0.10303186 O0.30909558 F0.33093525,1
Na0.35742188 La0.0234375 Si0.13509115 O0.48404948,1
Na0.07843137 Sr0.17647059 Si0.17647059 O0.56862745,0
Na0.00120144 Al0.07809371 B0.32118542 O0.59951942,0
Na0.23799943 Be0.06639839 B0.20408163 O0.49152055,0
Na0.04253545 Sb0.37447873 O0.58298582,1
K0.02598809 Na0.3275582 B0.18787223 O0.45858148,1
Na0.13137894 P0.13137894 W0.08577633 O0.6514658,1
Na0.31142857 Fe0.10714286 Si0.09428571 O0.48714286,0
Ba0.019124 Na0.07258894 V0.2278429 O0.56960724 F0.11083693,0
Na0.11796378 Mn0.03524229 B0.3010279 O0.54576603,1
Na0.06378866 V0.19362113 P0.06475515 O0.67783505,1
Na0.16713352 B0.29971989 O0.53314659,1
Na0.06866667 Si0.16733333 Ge0.13166667 O0.63233333,1
Ba0.08439716 Na0.22978723 As0.11489362 O0.40212766 F0.16879433,0
Na0.14295926 Mn0.07171789 Zn0.02335001 P0.14295926 O0.42887777 F0.19013581,1
Na0.15940054 Sr0.02247956 Mn0.04518619 P0.15940054 O0.47820163 F0.13533152,1
Na0.01697073 Li0.0685193 B0.1438269 P0.12685617 O0.50742469 F0.13640221,0
Na0.22632639 B0.21893889 O0.32840833 F0.22632639,0
Na0.09346991 Al0.031242 B0.29398207 O0.48783611 F0.09346991,1
Na0.14311843 Bi0.31412894 O0.54275263,0
Ba0.09407666 Na0.10220674 P0.18815331 O0.6155633,0
Ba0.0617592 Na0.12476606 B0.25077979 O0.43792888 F0.12476606,0
Na0.06187797 Al0.01882302 B0.33275638 O0.53007356 F0.05646906,1
Na0.01226242 Mn0.17351318 B0.253832 O0.5603924,0
Na0.1043257 V0.04410517 B0.27565734 O0.57591179,1
Na0.05252246 V0.18866621 Fe0.10435384 O0.6544575,0
Na0.02603198 Ge0.24246932 Pb0.11677203 O0.61472666,0
Na0.12872203 V0.20491955 Fe0.03587942 O0.63047901,1
Na0.19356913 La0.03536977 Ge0.20707395 O0.56398714,1
Ba0.08638132 Na0.03787289 B0.30817121 O0.56757458,0
Na0.22096103 Sr0.13620885 Ge0.13204692 O0.5107832,0
Na0.21432507 Ti0.0815427 B0.17355372 O0.53057851,0
Na0.17064846 Cu0.06484642 Sb0.2116041 I0.06484642 Cl0.17064846 O0.31740614,0
Na0.06421433 Fe0.19264299 B0.16882841 O0.57431427,0
Na0.27911008 Be0.05518636 B0.18838486 O0.47731869,1
Na0.24937531 Ga0.15042479 B0.09995002 O0.50024988,0
Na0.07783994 V0.1347604 Ge0.1371929 O0.65020676,0
Na0.14133333 Tl0.162 Ge0.18166667 O0.515,1
Ba0.03703704 Na0.27160494 P0.14814815 O0.54320988,0
Na0.17605462 Be0.01438673 B0.28285784 O0.5267008,1
Na0.27746551 B0.23352069 O0.4890138,0
Na0.05052748 Ti0.16879511 B0.16712937 O0.61354803,0
Na0.29399462 B0.20376457 O0.40304751 F0.09919331,0
Na0.096875 Cu0.090625 Sb0.25 I0.090625 Cl0.096875 O0.375,0
Na0.16733333 Si0.208 Sn0.04166667 O0.583,1
Ba0.1130137 Na0.0288242 B0.28652968 O0.54280822 F0.0288242,0
Na0.06380857 Sc0.00199402 Si0.29976736 O0.63443004,1
Na0.06185567 Sc0.03350515 Si0.27448454 O0.63015464,1
Ba0.073335 Na0.07557995 P0.07557995 W0.10052382 O0.5283113 F0.14666999,1
Na0.06733333 Si0.29966667 O0.633,1
Ba0.02130493 Na0.13359964 P0.13359964 W0.06702175 O0.60186418 F0.04260985,1
Na0.19789171 B0.28126497 O0.52084332,0
Na0.08648414 Ga0.04519774 B0.30291178 O0.56540635,1
Na0.32924586 B0.18209687 O0.38687922 F0.10177805,0
Na0.00708502 Mn0.08603239 B0.32692308 O0.57995951,0
Ba0.045961 Na0.1174559 P0.1174559 W0.06870938 O0.55849582 F0.09192201,1
Ba0.12195122 Na0.04878049 P0.19512195 O0.63414634,0
Na0.1373913 La0.13043478 Si0.15594203 O0.57623188,1
Na0.43184422 B0.14089347 O0.42726231,0
Na0.17536436 B0.29478138 O0.52985425,1
Ba0.11103694 Na0.00044504 P0.22207388 O0.66644415,1
Na0.25352113 B0.1971831 O0.29577465 F0.25352113,0
Na0.1408046 P0.1408046 Pb0.098659 O0.42241379 F0.19731801,0
Na0.30274361 Be0.09082308 B0.14569536 O0.46073794,1
Ba0.025466 Na0.07876083 B0.31661854 O0.5003938 F0.07876083,1
Na0.05172414 Al0.10344828 P0.18965517 O0.65517241,0
Na0.17289003 Be0.03529412 B0.26803069 O0.52378517,1
Na0.11747199 Li0.01260504 B0.16246499 P0.044993 O0.17997199 F0.482493,0
Na0.4149061 Ti0.02611502 B0.11971831 O0.43926056,0
Ba0.0684402 Na0.15893588 P0.15893588 O0.47680764 F0.1368804,1
Na0.29432624 Be0.0605792 B0.1749409 O0.47015366,1
Na0.18167539 Ti0.06361257 B0.21465969 O0.54005236,1
Na0.04979253 Zn0.06950207 B0.24965422 P0.04633472 O0.58471646,0
Na0.2807377 B0.23155738 O0.48770492,0
Na0.2754491 Fe0.05776682 Si0.15709757 O0.50968651,1
Na0.19047619 B0.28571429 O0.52380952,0
Na0.2 P0.2 O0.6,1
Na0.1054708 Mn0.1054708 Zn0.05207785 P0.1054708 O0.31641241 F0.31509732,1
Na0.04253545 Sc0.04295246 B0.33152627 O0.58298582,0
Na0.04210088 Al0.08170071 B0.29303877 O0.58315965,1
Na0.31440589 Al0.04837014 B0.16298633 O0.47423764,0
Na0.249 B0.249 Mo0.001 O0.501,1
